District,Month_Number,Month_Name,Crop_Name,Reason_1,Reason_2,Reason_3,Reason_4,Reason_5
Anuradhapura,2,February,Groundnut,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month
Anuradhapura,3,March,Cowpea,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Optimal soil temperature range for rapid seed germination
Anuradhapura,3,March,Red Onion,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,3,March,Groundnut,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,3,March,Sesame,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development
Anuradhapura,3,March,Sweet Potato,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield
Anuradhapura,3,March,Tomato,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,3,March,Chili,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield
Anuradhapura,3,March,Okra,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,4,April,Brinjal,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Anuradhapura,4,April,Cowpea,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination
Anuradhapura,4,April,Tomato,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,4,April,Green Gram,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year
Anuradhapura,4,April,Maize,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month
Anuradhapura,4,April,Okra,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination
Anuradhapura,4,April,Groundnut,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month
Anuradhapura,4,April,Chili,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development
Anuradhapura,5,May,Sesame,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year
Anuradhapura,5,May,Chili,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,5,May,Cowpea,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,5,May,Brinjal,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield
Anuradhapura,5,May,Okra,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Anuradhapura,5,May,Green Gram,Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield
Anuradhapura,5,May,Pumpkin,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,5,May,Groundnut,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,6,June,Groundnut,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,6,June,Tomato,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield
Anuradhapura,6,June,Okra,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable soil aeration conditions support deep root development
Anuradhapura,6,June,Cowpea,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month
Anuradhapura,6,June,Pumpkin,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,6,June,Red Onion,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,6,June,Sweet Potato,Historical data shows reduced pest prevalence during this time of year,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield
Anuradhapura,6,June,Chili,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,7,July,Green Gram,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination
Anuradhapura,7,July,Pumpkin,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable soil aeration conditions support deep root development,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,7,July,Groundnut,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,7,July,Sesame,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,7,July,Maize,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,7,July,Red Onion,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,7,July,Cowpea,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,7,July,Okra,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,8,August,Maize,Historical data shows reduced pest prevalence during this time of year,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development
Anuradhapura,8,August,Red Onion,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,8,August,Okra,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,8,August,Brinjal,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,8,August,Chili,Lower relative humidity reduces the risk of fungal leaf diseases,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,8,August,Sesame,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development
Anuradhapura,8,August,Cowpea,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year
Anuradhapura,8,August,Green Gram,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,9,September,Okra,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development
Anuradhapura,9,September,Pumpkin,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,9,September,Green Gram,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable day-night temperature variation enhances crop yield
Anuradhapura,9,September,Groundnut,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,9,September,Sweet Potato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Historical data shows reduced pest prevalence during this time of year
Anuradhapura,9,September,Red Onion,Optimal soil temperature range for rapid seed germination,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable soil aeration conditions support deep root development
Anuradhapura,9,September,Tomato,Timing aligns with traditional Maha/Yala seasonal planting schedules,Favorable day-night temperature variation enhances crop yield,Optimal soil temperature range for rapid seed germination,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,9,September,Chili,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,10,October,Groundnut,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,10,October,Green Gram,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis,"Harvesting aligns with local market demand peaks, ensuring better profit",Timing aligns with traditional Maha/Yala seasonal planting schedules,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Anuradhapura,10,October,Maize,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,10,October,Tomato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,10,October,Chili,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Anuradhapura,10,October,Brinjal,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Soil moisture retention levels are ideal during this specific month
Anuradhapura,10,October,Sweet Potato,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Optimal soil temperature range for rapid seed germination,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable soil aeration conditions support deep root development
Anuradhapura,10,October,Okra,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,11,November,Sweet Potato,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Historical data shows reduced pest prevalence during this time of year,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules
Anuradhapura,11,November,Pumpkin,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield
Anuradhapura,11,November,Okra,Favorable day-night temperature variation enhances crop yield,Lower relative humidity reduces the risk of fungal leaf diseases,Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,11,November,Brinjal,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,11,November,Maize,Favorable soil aeration conditions support deep root development,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Sufficient daily sunlight hours promote maximum photosynthesis,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination
Anuradhapura,11,November,Green Gram,Historical data shows reduced pest prevalence during this time of year,"Harvesting aligns with local market demand peaks, ensuring better profit",Favorable soil aeration conditions support deep root development,Sufficient daily sunlight hours promote maximum photosynthesis,Favorable day-night temperature variation enhances crop yield
Anuradhapura,11,November,Sesame,Historical data shows reduced pest prevalence during this time of year,Sufficient daily sunlight hours promote maximum photosynthesis,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage
Anuradhapura,11,November,Red Onion,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month
Anuradhapura,12,December,Sesame,Favorable day-night temperature variation enhances crop yield,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development
Anuradhapura,12,December,Sweet Potato,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis,Timing aligns with traditional Maha/Yala seasonal planting schedules,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,12,December,Maize,Optimal soil temperature range for rapid seed germination,Favorable soil aeration conditions support deep root development,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Lower relative humidity reduces the risk of fungal leaf diseases
Anuradhapura,12,December,Chili,Lower relative humidity reduces the risk of fungal leaf diseases,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield,Timing aligns with traditional Maha/Yala seasonal planting schedules,Optimal soil temperature range for rapid seed germination
Anuradhapura,12,December,Okra,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable soil aeration conditions support deep root development,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis
Anuradhapura,12,December,Cowpea,Soil moisture retention levels are ideal during this specific month,Favorable soil aeration conditions support deep root development,Optimal soil temperature range for rapid seed germination,Favorable day-night temperature variation enhances crop yield,"Harvesting aligns with local market demand peaks, ensuring better profit"
Anuradhapura,12,December,Red Onion,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,"Harvesting aligns with local market demand peaks, ensuring better profit",Optimal soil temperature range for rapid seed germination
Anuradhapura,12,December,Brinjal,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination,Timing aligns with traditional Maha/Yala seasonal planting schedules
Polonnaruwa,1,January,Red Onion,Lower relative humidity reduces the risk of fungal leaf diseases,Optimal soil temperature range for rapid seed germination,Timing aligns with traditional Maha/Yala seasonal planting schedules,"Harvesting aligns with local market demand peaks, ensuring better profit",Soil moisture retention levels are ideal during this specific month
Polonnaruwa,1,January,Chili,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable soil aeration conditions support deep root development,Favorable day-night temperature variation enhances crop yield,Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination
Polonnaruwa,1,January,Tomato,Lower relative humidity reduces the risk of fungal leaf diseases,"Harvesting aligns with local market demand peaks, ensuring better profit",Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,Optimal soil temperature range for rapid seed germination
Polonnaruwa,1,January,Groundnut,Favorable soil aeration conditions support deep root development,"Harvesting aligns with local market demand peaks, ensuring better profit",Historical data shows reduced pest prevalence during this time of year,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Timing aligns with traditional Maha/Yala seasonal planting schedules
Polonnaruwa,1,January,Brinjal,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Timing aligns with traditional Maha/Yala seasonal planting schedules,Soil moisture retention levels are ideal during this specific month,Favorable day-night temperature variation enhances crop yield
Polonnaruwa,1,January,Sweet Potato,Lower relative humidity reduces the risk of fungal leaf diseases,Favorable day-night temperature variation enhances crop yield,Historical data shows reduced pest prevalence during this time of year,Soil moisture retention levels are ideal during this specific month,Sufficient daily sunlight hours promote maximum photosynthesis
Polonnaruwa,1,January,Green Gram,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Soil moisture retention levels are ideal during this specific month,"Harvesting aligns with local market demand peaks, ensuring better profit",Sufficient daily sunlight hours promote maximum photosynthesis,Timing aligns with traditional Maha/Yala seasonal planting schedules
Polonnaruwa,1,January,Okra,Favorable soil aeration conditions support deep root development,Historical data shows reduced pest prevalence during this time of year,Lower relative humidity reduces the risk of fungal leaf diseases,Seasonal rainfall pattern aligns perfectly with the vegetative growth stage,Favorable day-night temperature variation enhances crop yield
